
DGX,Numtrials
16,5679.52,5671.66,5656.60,5667.61,5617.87,5652.64,5670.49,5633.20,5675.77,5660.15,5639.93,5626.31,5658.92,5649.53,
32,5627.16,4815.55,5656.97,5654.04,5664.37,5657.46,5658.86,5634.29,5648.01,5641.14,5685.56,5701.94,5653.13,5643.15,
64,5626.19,5679.46,5631.33,5671.10,5689.20,5660.82,5622.69,5668.96,5665.04,5623.48,5683.40,5654.65,5671.41,5659.23,
128,5662.35,4854.25,5685.87,5665.77,5640.11,5668.90,5708.77,5654.53,5673.93,5648.19,5667.12,5663.08,5638.66,5681.31,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,5749.65,4849.89,5684.45,5646.92,5648.44,5654.47,5658.01,5668.53,5672.33,4874.97,5661.25,5698.66,5686.85,5706.10,
16,5674.91,5646.98,5662.41,5654.65,5664.18,5644.30,5674.36,5687.10,5689.75,5712.63,5661.55,5606.10,5667.80,5642.54,
32,5665.71,4820.33,5677.92,5678.48,5652.64,4913.02,5308.92,5793.88,5236.86,5821.35,4965.37,4347.83,5303.28,5590.97,
64,5531.75,5348.51,4642.72,5570.01,5850.45,5604.90,4994.55,5836.38,4847.29,4936.38,5817.08,4980.79,5311.56,4514.08,
128,4381.63,5497.12,5595.63,4623.15,5357.59,5640.23,5490.21,5224.49,4643.46,5478.91,5436.59,5430.79,5504.80,5405.81,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,64.11,56.82,4553.92,4551.94,4806.76,4776.42,4363.94,4585.50,4502.61,4728.94,4939.73,64.65,63.61,5599.69,
16,5638.41,5630.97,5651.06,5645.88,5600.71,5686.36,5636.90,5699.84,5617.99,5666.88,5637.93,5630.06,5652.94,5645.15,
32,5660.33,5643.09,5631.51,5578.90,5629.64,5642.12,5647.28,5150.02,61.85,64.12,4968.19,4864.34,4863.61,4882.37,
64,4864.16,4956.40,5108.33,4411.64,4803.02,66.55,2471.81,63.87,4635.78,4788.89,61.79,57.47,4417.10,5285.21,
