ArraySize,1000,5000,10000,50000,100000,500000,1000000,4000000,8000000,
NonSimdMul,  221.03,  223.01,  222.19,  221.83,  222.36,  220.97,  221.42,  219.43,  218.95,
SimdMul, 1819.90, 1868.03, 1873.24, 1847.84, 1775.90, 1742.57, 1510.44, 1122.27, 1113.68,
NonSimdMulSum,  223.51,  224.78,  224.96,  225.12,  225.14,  224.71,  225.10,  225.09,  224.82,
SimdMulSum, 1795.55, 1916.03, 1930.50, 1938.02, 1939.77, 1892.24, 1842.72, 1815.66, 1804.99,
