Method,Threads,1000,5000,10000,50000,100000,500000,1000000,4000000,8000000,
no multicore or SIMD,1,  314.70,  314.44,  314.66,  315.29,  315.99,  313.07,  312.96,  308.03,  307.25,
Multicore+SIMD,1,  877.24, 1520.88, 1671.45, 1265.19, 1685.25, 1705.03, 1525.05, 1237.51, 1201.90,
Multicore+SIMD,2,  675.31, 1873.24, 2269.11, 3493.89, 3261.87, 3384.93, 2972.84, 1928.42, 1761.29,
Multicore+SIMD,4,  577.90, 1997.29, 3320.17, 5991.86, 6696.66, 6255.92, 5607.53, 3570.67, 2889.90,
Multicore,1,  244.70,  304.94,  307.05,  315.86,  312.57,  308.80,  312.64,  308.68,  310.44,
Multicore,2,  396.21,  451.61,  546.38,  613.41,  612.15,  618.00,  615.47,  617.06,  614.48,
Multicore,4,  370.00,  816.16,  904.89, 1195.12, 1217.64, 1217.97, 1255.12, 1235.73, 1239.42,
